Date,Open,High,Low,Close,Volume,Adj Close
2017-03-15,197.196,197.196,197.196,197.196,000,197.196
2017-03-14,182.95599,182.95599,182.95599,182.95599,000,182.95599
2017-03-13,187.888,187.888,187.888,187.888,000,187.888
2017-03-10,186.651,186.651,186.651,186.651,000,186.651
2017-03-09,0.052,0.052,0.052,0.052,000,0.052
2017-03-08,183.763,183.763,183.763,183.763,000,183.763
2017-03-07,184.754,184.754,184.754,184.754,000,184.754
2017-03-06,185.929,185.929,185.929,185.929,000,185.929
2017-03-03,191.617,191.617,191.617,191.617,000,191.617
2017-03-02,188.332,188.332,188.332,188.332,000,188.332
2017-03-01,197.024,197.024,197.024,197.024,000,197.024
2017-02-28,196.09399,196.09399,196.09399,196.09399,000,196.09399
2017-02-27,195.884,195.884,195.884,195.884,000,195.884
2017-02-24,206.34599,206.34599,206.34599,206.34599,000,206.34599
2017-02-23,209.097,209.097,209.097,209.097,000,209.097
2017-02-22,208.52299,208.52299,208.52299,208.52299,000,208.52299
2017-02-21,212.34399,212.34399,212.34399,212.34399,000,212.34399
2017-02-17,214.543,214.543,214.543,214.543,000,214.543
2017-02-16,220.435,220.435,220.435,220.435,000,220.435
2017-02-15,215.89799,215.89799,215.89799,215.89799,000,215.89799
2017-02-14,215.649,215.649,215.649,215.649,000,215.649
2017-02-13,216.157,216.157,216.157,216.157,000,216.157
2017-02-10,218.80901,218.80901,218.80901,218.80901,000,218.80901
2017-02-09,215.97501,215.97501,215.97501,215.97501,000,215.97501
2017-02-08,221.535,221.535,221.535,221.535,000,221.535
2017-02-07,218.10899,218.10899,218.10899,218.10899,000,218.10899
2017-02-06,215.47701,215.47701,215.47701,215.47701,000,215.47701
2017-02-03,212.12399,212.12399,212.12399,212.12399,000,212.12399
2017-02-02,211.936,211.936,211.936,211.936,000,211.936
2017-02-01,207.27699,207.27699,207.27699,207.27699,000,207.27699
2017-01-31,207.453,207.453,207.453,207.453,000,207.453
2017-01-30,201.53999,201.53999,201.53999,201.53999,000,201.53999
2017-01-27,202.845,202.845,202.845,202.845,000,202.845
